id,year,month,nombre,codigoruta,nombreruta,pasajerosadultomayor,pasajerosregulares,pasajerostotales,cant_feriados,nombres_feriados,es_feriado_mes,precipitacion_mm,temperatura_c,dia_semana,es_fin_semana,trimestre,temporada,nivel_precipitacion,feriado_finde,periodo_escolar,ruta_promedio_pasajeros,proporcion_adultos_mayor,year_norm
317,2021,1,"BUSES SAN IGNACIO DE LOYOLA, S.A.",322,CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA,1050,5232,6282,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14030.994152046784,0.16711761897182875,0
318,2021,1,"BUSES SAN IGNACIO DE LOYOLA, S.A.",322,CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA,0,298,298,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14030.994152046784,0.0,0
465,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",316,SAN JOSE-PARAISO DE CARTAGO,1217,36931,38148,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,37923.305555555555,0.03190122939002333,0
466,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,6224,205467,211691,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.02940120552500803,0
467,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,190,4945,5135,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.03699376947040498,0
468,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,0,2483,2483,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.0,0
469,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,2441,66919,69360,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.03519268753334006,0
470,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,659,9192,9851,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.06688997157937475,0
471,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,0,0,0,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.0,0
472,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,0,0,0,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.0,0
